Row-names	GCShoot_COL00-GCShoot_RBOHD___log2FoldChange	GCShoot_COL00-GCShoot_RBOHD___padj	COL00-RBOHD_shoot_APEX5_Sig
AT2G35710	1.018513944	0.02750411	Yes
AT2G35900	0.625242735	0.003294898	Yes
AT2G35920	-0.338180332	0.034255554	Yes
AT2G35930	1.292763777	0.034562425	Yes
AT2G35945	0.457539577	0.031065859	Yes
AT2G36120	-1.315743601	0.004030265	Yes
AT2G36140	0.735920427	0.041981421	Yes
AT2G36200	-0.539498468	0.012682504	Yes
AT2G36220	1.099857571	0.026858848	Yes
AT2G36230	0.352488471	0.013097455	Yes
AT2G36300	0.481871395	0.013888934	Yes
AT2G36320	0.508819449	0.006696324	Yes
AT2G36350	-0.458183327	0.024128938	Yes
AT2G36390	0.389951303	0.000175694	Yes
AT2G36410	0.344790801	0.024988767	Yes
AT2G36430	0.674184289	0.000653511	Yes
AT2G36490	-0.619167164	0.000355932	Yes
AT2G36830	1.31622186	0.000110169	Yes
AT2G36835	0.376703048	0.004039123	Yes
AT2G36870	-0.505131313	0.021143266	Yes
AT2G36950	0.614900718	0.000936823	Yes
AT2G37070	-1.189578463	0.026338941	Yes
AT2G37080	-0.450847599	0.004913893	Yes
AT2G37130	1.130141775	0.001858416	Yes
AT2G37200	0.585667409	0.01300238	Yes
AT2G37230	-0.312483155	0.041605849	Yes
AT2G37290	-0.899509154	0.049010351	Yes
AT2G37340	0.385744628	0.027770007	Yes
AT2G37420	-0.698353092	0.031788615	Yes
AT2G37640	0.952942078	0.008048596	Yes
AT2G37950	1.167014514	0.01300238	Yes
AT2G38280	-0.20501283	0.043906838	Yes
AT2G38530	0.986175048	0.005267685	Yes
AT2G38620	-0.885312548	0.009824773	Yes
AT2G38650	-0.195751479	0.045489705	Yes
AT2G38670	0.288781482	0.009917967	Yes
AT2G39390	-0.334466754	0.038172484	Yes
AT2G39530	-2.491087079	0.031788615	Yes
AT2G39725	-0.510724472	0.047886128	Yes
AT2G40085	1.137000199	0.007589619	Yes
AT2G40205	-0.427562665	0.046393067	Yes
AT2G40330	0.896924672	0.004171625	Yes
AT2G40590	0.491712241	0.03488895	Yes
AT2G40820	-0.367085186	0.008585304	Yes
AT2G40840	0.308440771	0.000976688	Yes
