Entrez ID,FLRoot_COL00_1,GCRoot_COL00_1,FLRoot_COL00_2,GCRoot_COL00_2,FLRoot_COL00_3,GCRoot_COL00_3,FLRoot_COL00_4,GCRoot_COL00_4
826551,8.8041,8.9342,9.0742,9.0661,8.6668,8.5759,8.5793,8.8234
841771,7.9299,8.3982,7.9147,8.0003,8.2434,8.3598,8.0411,8.3139
827967,8.8854,9.0111,9.2718,8.9932,9.3888,8.7999,9.0324,9.2087
6240253,6.2347,6.5206,6.7153,6.7262,6.5615,6.6169,6.7819,6.888
817444,10.5438,10.5186,10.5341,10.3322,10.4374,10.1393,10.028,10.5286
843100,9.6579,10.0118,10.1352,10.1401,9.7721,9.888,9.7775,10.1835
838202,9.5288,8.9032,9.2743,9.0018,9.3567,9.2854,9.328,9.2063
5007954,6.9783,7.4152,6.8858,6.9185,7.2966,7.2969,7.0272,7.1954
822403,8.783,8.379,8.7454,8.7342,8.5402,8.3554,8.2642,8.6108
827300,8.0986,8.1181,7.6721,7.8806,8.0205,8.1418,7.6244,7.928
843433,8.5575,8.9298,9.0111,9.1869,8.9324,9.1995,9.0391,8.995
843940,8.28,7.9284,7.777,7.7753,7.6548,7.6533,7.8298,7.8453
830598,6.7219,6.777,6.5559,6.7668,6.954,6.6887,6.5876,7.1664
826848,10.0813,9.4275,9.8917,9.7503,9.7335,9.5664,9.8532,9.7357
838313,8.4277,8.379,8.646,8.859,8.6236,8.2311,8.6774,8.6322
5008029,6.6616,6.9947,7.1652,6.8635,7.0273,6.9211,6.5629,7.0015
818636,12.9289,12.6135,13.1742,12.8664,13.2334,13.0058,13.1427,13.0234
834783,6.1049,6.1492,5.881,6.1982,6.3974,6.51,6.2897,6.3841
834915,11.0347,11.3004,11.3929,11.467,11.6158,11.6045,11.3309,11.5988
822519,13.2834,13.7586,13.4048,13.508,13.547,13.8428,13.3143,13.4519
817415,9.5225,9.0562,9.0535,9.1258,9.0551,8.9419,9.2928,8.9161
