tissue,locus,Symbol,transcript_id,flight_direction,cax22_flight_log2FC,cax23_flight_log2FC,cax23_padj
shoot,AT5G45200,TIR-NBS-LRR,AT5G45200.1,up,2.31401427333809,5.470253651,1.96e-13
shoot,AT1G43020,-,AT1G43020.3,up,2.3067838558177636,4.32668589325,2.65e-07
shoot,AT1G61840,DC1,AT1G61840.1,up,2.2628637076080795,3.923316924,4.6e-08
shoot,AT1G70850,MLP34,AT1G70850.1,up,2.2610551182362255,5.5759282269999995,7.01e-16
shoot,AT3G59220,PRN1,AT3G59220.1,up,2.2588252715915735,3.149522369,7.48e-09
shoot,AT2G15370,FUT5,AT2G15370.1,up,2.227607262962621,6.860237163,3.82e-09
shoot,AT1G59940,ARR3,AT1G59940.1,up,2.2013652316998926,4.730508176,2.38e-11
shoot,AT3G48450,nitrate-responsive NOI,AT3G48450.1,up,2.2010652204102903,2.314590747,0.00019573
shoot,AT2G16980,tetracycline transporter,AT2G16980.1,up,2.1954448763513046,4.4631449745000005,6.74e-14
shoot,AT5G59090,SBT4.12,AT5G59090.3,up,2.1900589588583053,7.325694017666667,8.15e-38
shoot,AT3G52790,peptidoglycan-binding LysM,AT3G52790.1,up,2.188740004974433,2.275392607,0.000984388
shoot,AT4G22810,DNA-binding,AT4G22810.1,up,2.170620192799847,5.48380922,3.31e-17
shoot,AT1G71692,XAL1,AT1G71692.1,up,2.1633815474472007,6.354746892,2.81e-17
shoot,AT2G01530,MLP329,AT2G01530.1,up,2.136411086689253,6.54454645,3.08e-10
shoot,AT4G21830,SeIR,AT4G21830.2,up,2.129134153114186,4.5863868839999995,6.5e-13
shoot,AT5G24100,kinase,AT5G24100.1,up,2.1184810603613293,7.046746916,1.4e-13
shoot,AT4G21340,B70,AT4G21340.1,up,2.1019309984651864,6.771671849,1.33e-07
shoot,AT5G46890,LTP,AT5G46890.1,up,2.101427721279314,8.77198448,3.67e-16
shoot,AT1G73300,scpl2,AT1G73300.1,up,2.0987278688544433,2.984802765,0.024685905
shoot,AT4G15340,PEN1,AT4G15340.1,up,2.079513221463625,5.437364057,9.34e-11
shoot,AT1G64590,SDR,AT1G64590.1,up,2.0786698887293404,5.008520588,6.23e-10
shoot,AT3G23180,-,AT3G23180.1,up,2.0469654393326944,5.803223454,4.35e-12
shoot,AT2G01520,MLP328,AT2G01520.1,up,2.039845210946953,5.458553958,6.5e-16
shoot,AT2G34020,calcium ion binding,AT2G34020.1,up,2.0333600129144918,5.283957475,4.89e-17
shoot,AT1G66800,CAD,AT1G66800.1,up,2.005952472249255,6.067344079,1.46e-09
shoot,AT3G20840,PLT1,AT3G20840.1,up,1.9998411513243408,5.899216909,1.13e-15
shoot,AT3G48340,cysteine-type endopeptidase/ cysteine-type peptidase,AT3G48340.1,up,1.9942566289853618,6.203896217,5.52e-12
shoot,AT4G22233,other RNA,AT4G22233.1,up,1.9808562677990296,2.046318501,0.001565984
shoot,AT5G12340,-,AT5G12340.1,up,1.9763983368899412,2.958610383,0.011590858
shoot,AT2G12646,-,AT2G12646.1,up,1.9723388327952966,6.59150104,4.31e-20
shoot,AT4G15330,CYP705A1,AT4G15330.1,up,1.9575826856086957,6.592188268,1.05e-11
shoot,AT3G47200,-,AT3G47200.2,up,1.948376494659379,5.757314499,1.76e-17
shoot,AT3G61270,-,AT3G61270.1,up,1.9447422454053005,5.843094025,1.34e-12
shoot,AT1G05260,RCI3A,AT1G05260.1,up,1.936083591098961,4.831303844,1.13e-15
